user_id,watch_time_hours,avg_session_mins,sessions_per_week,completion_rate,weekend_usage_ratio,genre_diversity,top_genres
USR-00343,7.5,52.0,3,0.456,0.719,3,Drama|Family|Comedy
USR-00344,36.08,54.8,6,0.53,0.263,8,Documentary|Drama|Action|Romance|Animation|Sci-Fi|Family|Comedy
USR-00345,2.98,52.7,2,0.302,0.6,1,Family
USR-00346,2.79,27.9,2,0.431,0.765,2,Family|Drama
USR-00347,29.81,68.3,7,0.698,0.346,1,Thriller
USR-00348,13.08,21.9,5,0.742,0.584,3,Animation|Comedy|Family
USR-00349,32.85,48.5,9,0.537,0.54,7,Comedy|Drama|Action|Documentary|Thriller|Family|Sci-Fi
USR-00350,45.69,83.8,12,0.928,0.285,2,Action|Sci-Fi
USR-00351,27.0,57.5,9,0.586,0.508,8,Comedy|Family|Thriller|Romance|Animation|Action|Documentary|Drama
USR-00352,52.59,72.9,8,0.954,0.428,2,Sci-Fi|Action
USR-00353,28.4,49.5,6,0.545,0.364,5,Animation|Romance|Comedy|Sci-Fi|Documentary
USR-00354,35.81,79.5,7,0.7,0.333,6,Romance|Drama|Action|Documentary|Sci-Fi|Thriller
USR-00355,21.89,55.7,6,0.833,0.435,6,Family|Drama|Sci-Fi|Action|Romance|Thriller
USR-00356,28.47,53.5,8,0.509,0.379,5,Drama|Sci-Fi|Animation|Thriller|Action
USR-00357,2.38,31.6,1,0.568,0.704,3,Comedy|Family|Drama
USR-00358,9.93,46.4,3,0.641,0.841,2,Comedy|Drama
USR-00359,38.69,61.4,5,0.68,0.505,7,Sci-Fi|Action|Romance|Drama|Thriller|Family|Documentary
USR-00360,38.73,80.8,9,0.701,0.424,8,Animation|Sci-Fi|Comedy|Action|Thriller|Drama|Romance|Documentary
USR-00361,32.56,75.5,4,0.865,0.325,1,Thriller
USR-00362,41.19,80.0,14,0.724,0.352,4,Action|Thriller|Sci-Fi
USR-00363,41.88,83.1,10,0.778,0.436,2,Action|Sci-Fi
USR-00364,41.54,74.4,9,0.716,0.408,2,Sci-Fi|Thriller
USR-00365,6.96,42.1,2,0.676,0.886,2,Comedy|Drama
USR-00366,15.3,27.3,4,0.477,0.615,4,Family|Drama|Animation|Comedy
USR-00367,9.4,27.9,2,0.671,0.886,2,Comedy|Family
USR-00368,7.28,27.8,2,0.43,0.558,3,Drama|Family|Comedy
USR-00369,13.44,34.5,5,0.595,0.446,2,Animation|Comedy
USR-00370,23.31,58.9,5,0.697,0.45,1,Thriller
USR-00371,9.42,47.9,2,0.527,0.598,3,Drama|Comedy|Family
USR-00372,10.07,25.7,4,0.548,0.59,5,Drama|Comedy|Family|Animation
USR-00373,5.4,33.1,4,0.641,0.445,2,Comedy|Family
USR-00374,13.12,26.9,4,0.595,0.515,4,Comedy|Family|Drama|Animation
USR-00375,35.8,109.8,10,0.891,0.379,2,Sci-Fi|Thriller
USR-00376,54.18,95.4,11,0.905,0.391,3,Sci-Fi|Thriller|Action
USR-00377,22.72,68.3,6,0.767,0.431,1,Drama
USR-00378,15.46,25.9,5,0.479,0.514,4,Animation|Family|Comedy|Drama
USR-00379,17.34,23.1,3,0.54,0.567,4,Family|Comedy|Drama|Animation
USR-00380,2.0,24.2,2,0.465,0.551,3,Comedy|Drama|Family
USR-00381,28.37,72.3,8,0.75,0.389,8,Family|Sci-Fi|Action|Romance|Comedy|Drama|Animation|Documentary
USR-00382,26.77,76.2,7,,0.436,3,Drama|Thriller|Romance
USR-00383,2.73,25.0,1,0.624,0.797,1,Comedy
USR-00384,27.49,70.1,5,0.808,0.414,8,Sci-Fi|Romance|Drama|Thriller|Comedy|Family|Documentary|Action
USR-00385,12.08,31.5,4,0.601,0.426,5,Family|Comedy|Drama|Animation
USR-00386,27.52,76.8,5,0.899,0.292,1,Thriller
USR-00387,5.78,40.5,1,0.314,0.724,2,Drama|Family
USR-00388,29.03,74.9,6,0.678,0.272,3,Romance|Thriller|Drama
USR-00389,38.56,114.1,11,0.759,0.268,4,Thriller|Sci-Fi|Action
USR-00390,34.3,97.2,6,0.864,0.271,1,Romance
USR-00391,39.78,82.6,9,0.639,0.345,5,Romance|Comedy|Animation|Sci-Fi|Action
USR-00392,44.96,77.9,7,0.821,0.279,3,Sci-Fi|Thriller|Action
USR-00393,23.94,43.4,8,0.571,0.266,7,Comedy|Sci-Fi|Animation|Documentary|Action|Family|Romance
USR-00394,4.35,22.5,2,0.487,0.897,1,Comedy
USR-00395,54.59,91.2,14,0.723,0.315,2,Sci-Fi|Action
USR-00396,21.9,60.4,9,0.563,0.465,6,Comedy|Romance|Thriller|Drama|Sci-Fi|Family
USR-00397,2.37,25.7,2,0.545,0.642,3,Family|Comedy|Drama
USR-00398,12.35,28.7,2,0.538,0.508,5,Drama|Animation|Comedy|Family
USR-00399,26.3,80.6,6,0.779,0.534,6,Documentary|Family|Comedy|Sci-Fi|Drama|Animation
USR-00400,13.32,28.7,6,0.587,0.46,2,Drama|Family
USR-00401,15.68,26.1,3,0.714,0.397,4,Family|Animation|Comedy|Drama
USR-00402,22.51,68.3,5,0.865,0.535,1,Thriller
USR-00403,5.92,35.7,2,0.64,0.653,3,Comedy|Drama|Family
USR-00404,51.0,118.3,12,0.745,0.367,4,Sci-Fi|Thriller|Action
USR-00405,22.78,84.8,8,0.704,0.368,3,Thriller|Drama|Romance
USR-00406,20.97,51.5,8,0.845,0.422,2,Drama|Thriller
USR-00407,9.8,21.9,4,0.705,0.458,3,Family|Drama|Animation
USR-00408,6.55,22.6,3,0.34,0.818,1,Comedy
USR-00409,38.73,81.0,13,0.79,0.368,2,Thriller|Sci-Fi
USR-00410,33.39,64.8,7,0.818,0.342,2,Drama|Thriller
USR-00411,7.41,45.5,1,0.666,0.732,1,Family
USR-00412,8.45,47.0,2,0.607,0.644,2,Drama|Comedy
USR-00413,41.36,94.2,13,0.966,0.41,3,Sci-Fi|Action|Thriller
USR-00414,20.59,75.9,9,0.794,0.49,2,Romance|Thriller
USR-00415,47.54,91.4,8,0.843,0.254,3,Sci-Fi|Thriller|Action
USR-00416,14.22,34.9,5,0.635,0.362,3,Drama|Comedy|Animation
USR-00417,35.62,104.5,9,0.822,0.333,4,Sci-Fi|Action|Thriller
USR-00418,5.27,40.3,2,0.303,0.868,1,Family
USR-00419,44.02,80.4,12,0.778,0.422,3,Sci-Fi|Thriller|Action
USR-00420,22.23,51.0,9,0.811,0.388,2,Thriller|Romance
USR-00421,9.96,30.3,3,0.616,0.744,2,Comedy|Drama
USR-00422,48.08,114.9,8,0.736,0.39,4,Action|Sci-Fi|Thriller
USR-00423,51.14,75.2,14,0.719,0.349,2,Sci-Fi|Action
USR-00424,46.05,111.8,12,0.778,0.354,4,Action|Thriller|Sci-Fi
USR-00425,22.05,49.2,6,0.782,0.282,5,Romance|Documentary|Sci-Fi|Drama|Action
USR-00426,5.04,27.1,3,0.443,0.707,3,Family|Drama|Comedy
USR-00427,7.41,32.0,3,0.792,0.59,2,Comedy|Animation
USR-00428,4.01,25.3,1,0.387,0.855,3,Drama|Comedy|Family
USR-00429,40.12,118.8,11,0.709,0.396,3,Sci-Fi|Thriller|Action
USR-00430,4.46,50.4,1,0.515,0.779,2,Comedy|Drama
USR-00431,26.1,75.4,7,0.729,0.506,3,Romance|Drama|Thriller
USR-00432,8.2,31.9,1,0.375,0.736,1,Family
USR-00433,1.64,21.1,3,0.486,0.885,3,Family|Comedy|Drama
USR-00434,3.55,48.6,3,0.574,0.729,1,Comedy
USR-00435,51.31,109.7,7,0.98,0.346,4,Action|Thriller|Sci-Fi
USR-00436,7.75,16.1,4,0.75,0.451,3,Family|Drama|Animation
USR-00437,47.31,76.5,9,0.951,0.281,4,Sci-Fi|Thriller|Action
USR-00438,32.09,43.8,10,0.523,0.272,8,Animation|Thriller|Romance|Drama|Comedy|Family|Documentary|Sci-Fi
USR-00439,7.42,54.9,1,0.305,0.594,2,Comedy|Family
USR-00440,38.8,68.2,7,0.682,0.489,5,Thriller|Comedy|Family|Action|Sci-Fi
USR-00441,31.39,92.7,8,0.897,0.415,2,Drama|Romance
USR-00442,39.03,97.5,7,0.716,0.398,3,Action|Thriller|Sci-Fi
USR-00443,9.46,22.4,1,0.49,0.844,3,Drama|Comedy|Family
USR-00444,45.23,110.6,7,0.736,0.275,4,Sci-Fi|Thriller|Action
USR-00445,17.35,34.2,5,0.757,0.532,3,Drama|Animation|Comedy
USR-00446,6.9,21.8,2,0.577,0.883,3,Comedy|Family|Drama
USR-00447,30.61,62.1,8,0.848,0.544,2,Romance|Thriller
USR-00448,29.51,66.5,5,0.551,0.38,5,Drama|Sci-Fi|Action|Family|Thriller
USR-00449,38.39,106.2,12,0.951,0.255,2,Thriller|Sci-Fi
USR-00450,24.5,61.2,6,0.795,0.525,7,Family|Thriller|Romance|Animation|Action|Comedy|Sci-Fi
USR-00451,48.07,88.0,11,0.75,0.401,3,Action|Thriller|Sci-Fi
USR-00452,31.57,87.3,7,0.732,0.391,1,Thriller
USR-00453,9.27,33.1,2,0.65,0.607,2,Comedy|Family
USR-00454,49.85,77.5,12,0.917,0.357,2,Action|Thriller
USR-00455,45.21,85.2,7,0.75,0.373,2,Action|Thriller
USR-00456,42.59,79.3,11,0.766,0.256,2,Thriller|Action
USR-00457,32.13,68.6,9,0.823,0.42,3,Romance|Thriller|Drama
USR-00458,26.04,41.8,6,0.61,0.513,7,Romance|Comedy|Animation|Documentary|Drama|Action|Sci-Fi
USR-00459,8.58,54.1,2,0.564,0.735,2,Family|Comedy
USR-00460,31.68,42.0,5,0.789,0.376,7,Sci-Fi|Romance|Drama|Documentary|Family|Thriller|Animation
USR-00461,39.84,50.6,5,0.598,0.444,8,Romance|Action|Drama|Documentary|Sci-Fi|Family|Comedy|Animation
USR-00462,47.72,109.5,10,0.768,0.423,3,Thriller|Action|Sci-Fi
USR-00463,22.9,76.7,4,0.807,0.505,1,Thriller
USR-00464,6.39,21.8,2,0.618,0.523,3,Drama|Comedy|Family
USR-00465,29.1,67.8,5,0.661,0.289,6,Animation|Romance|Comedy|Drama|Thriller|Documentary
USR-00466,5.64,50.7,3,0.346,0.655,1,Comedy
USR-00467,25.97,74.3,7,0.586,0.275,7,Romance|Drama|Documentary|Family|Animation|Sci-Fi|Thriller
USR-00468,21.98,77.5,8,0.745,0.446,3,Drama|Thriller|Romance
USR-00469,36.8,103.3,10,0.74,0.323,4,Thriller|Sci-Fi|Action
USR-00470,39.79,62.2,5,0.596,0.544,6,Romance|Drama|Sci-Fi|Comedy|Action|Thriller
USR-00471,13.78,21.3,2,0.711,0.619,4,Comedy|Family|Drama|Animation
USR-00472,24.85,52.3,10,0.785,0.298,7,Action|Documentary|Thriller|Drama|Family|Sci-Fi|Animation
USR-00473,38.25,88.2,10,0.753,0.414,4,Thriller|Action|Sci-Fi
USR-00474,36.51,103.9,12,0.938,0.446,4,Action|Sci-Fi|Thriller
USR-00475,11.57,37.8,2,0.759,0.432,4,Animation|Family|Comedy|Drama
USR-00476,7.75,39.5,6,0.514,0.466,3,Family|Comedy|Animation
USR-00477,17.83,31.3,6,0.695,0.463,5,Animation|Family|Comedy|Drama
USR-00478,37.28,53.7,10,0.736,0.39,8,Romance|Drama|Family|Action|Thriller|Animation|Sci-Fi|Comedy
USR-00479,32.77,80.5,8,0.718,0.505,5,Documentary|Drama|Family|Animation|Thriller
USR-00480,9.24,21.8,4,0.677,0.369,5,Drama|Animation|Family|Comedy
USR-00481,7.61,15.0,3,0.616,0.364,3,Comedy|Animation|Family
USR-00482,7.8,22.8,6,0.746,0.631,3,Family|Drama|Comedy
USR-00483,37.4,79.7,7,0.538,0.422,6,Sci-Fi|Drama|Thriller|Documentary|Action|Family
USR-00484,10.31,35.3,6,0.756,0.446,3,Family|Comedy|Animation
USR-00485,40.62,103.0,7,0.74,0.272,3,Sci-Fi|Thriller|Action
USR-00486,17.27,16.2,6,0.716,0.608,5,Animation|Drama|Family|Comedy
USR-00487,37.13,72.8,7,0.665,0.323,6,Romance|Animation|Comedy|Drama|Sci-Fi|Documentary
USR-00488,11.82,34.4,4,0.606,0.47,5,Animation|Family|Drama|Comedy
USR-00489,21.73,59.3,7,0.621,0.488,5,Romance|Comedy|Family|Thriller|Drama
USR-00490,26.9,66.6,6,0.677,0.295,6,Action|Comedy|Drama|Thriller|Animation|Sci-Fi
USR-00491,8.24,29.1,1,0.464,0.661,2,Drama|Family
USR-00492,24.73,80.9,7,0.761,0.455,5,Comedy|Sci-Fi|Documentary|Action|Romance
USR-00493,8.01,30.0,2,0.315,0.705,1,Comedy
USR-00494,16.3,17.8,5,0.519,0.535,2,Comedy|Animation
USR-00495,9.32,39.1,2,0.696,0.573,2,Drama|Comedy
USR-00496,30.08,81.5,8,0.678,0.382,7,Comedy|Thriller|Documentary|Drama|Action|Romance|Sci-Fi
USR-00497,5.06,26.2,6,0.476,0.501,2,Animation|Comedy
USR-00498,33.11,53.9,6,0.849,0.525,5,Animation|Documentary|Romance|Sci-Fi|Comedy
USR-00499,6.78,32.1,4,0.456,0.446,3,Drama|Family|Animation
USR-00500,23.75,61.6,6,0.795,0.477,7,Action|Animation|Thriller|Family|Documentary|Romance|Comedy
USR-00501,6.35,35.3,2,0.507,0.788,2,Drama|Comedy
USR-00502,25.28,50.8,9,0.721,0.4,3,Thriller|Drama|Romance
USR-00503,22.67,83.2,8,0.861,0.373,1,Romance
USR-00504,23.58,58.6,10,0.818,0.428,8,Drama|Family|Sci-Fi|Comedy|Action|Thriller|Animation|Romance
USR-00505,23.12,79.6,5,0.649,0.332,7,Documentary|Drama|Comedy|Animation|Family|Action|Thriller
USR-00506,2.82,45.6,1,0.35,0.58,3,Drama|Family|Comedy
USR-00507,13.19,15.6,4,0.627,0.66,3,Comedy|Drama|Family
USR-00508,2.04,30.3,2,0.395,0.705,3,Family|Drama|Comedy
USR-00509,33.92,66.3,6,0.682,0.416,8,Sci-Fi|Action|Animation|Comedy|Romance|Family|Documentary|Thriller
USR-00510,52.2,112.3,13,0.895,0.329,2,Sci-Fi|Thriller
USR-00511,40.61,92.1,8,0.775,0.388,2,Sci-Fi|Action
USR-00512,5.56,51.1,3,0.5,0.651,3,Family|Comedy|Drama
USR-00513,49.2,98.6,9,0.734,0.386,4,Thriller|Action|Sci-Fi
USR-00514,11.05,24.7,6,0.563,0.635,5,Comedy|Family|Animation|Drama
USR-00515,10.3,24.7,5,0.547,0.658,2,Family|Animation
USR-00516,39.32,94.2,9,0.901,0.307,3,Action|Sci-Fi|Thriller
USR-00517,8.26,30.8,5,0.504,0.477,5,Animation|Family|Comedy|Drama
USR-00518,1.48,40.8,3,0.694,0.736,2,Comedy|Family
USR-00519,50.66,102.8,12,0.764,0.398,4,Action|Thriller|Sci-Fi
USR-00520,3.05,28.3,2,0.397,0.676,3,Comedy|Drama|Family
USR-00521,20.7,74.3,7,0.721,0.253,1,Drama
USR-00522,9.14,15.8,3,0.667,0.569,5,Comedy|Animation|Family|Drama
USR-00523,43.24,93.3,11,0.758,0.412,2,Thriller|Action
USR-00524,24.48,54.0,9,0.608,0.35,5,Thriller|Romance|Drama|Sci-Fi|Animation
USR-00525,52.1,105.2,7,0.8,0.369,2,Sci-Fi|Action
USR-00526,11.12,23.8,4,0.526,0.582,4,Animation|Family|Drama|Comedy
USR-00527,25.47,88.7,8,0.861,0.371,2,Drama|Thriller
USR-00528,21.47,86.3,7,0.709,0.337,3,Thriller|Drama|Romance
USR-00529,4.94,52.2,2,0.636,0.858,2,Comedy|Family
USR-00530,12.92,25.9,4,0.657,0.359,3,Drama|Comedy|Family
USR-00531,5.72,41.5,1,0.379,0.864,3,Family|Comedy|Drama
USR-00532,3.17,25.3,3,0.426,0.689,2,Family|Drama
USR-00533,7.99,35.8,6,0.793,0.429,2,Animation|Drama
USR-00534,22.41,76.8,8,0.596,0.415,7,Family|Animation|Sci-Fi|Drama|Action|Thriller|Documentary
USR-00535,53.44,95.6,14,0.8,0.305,3,Sci-Fi|Action|Thriller
USR-00536,9.47,26.3,6,0.795,0.428,4,Animation|Drama|Family|Comedy
USR-00537,34.35,47.9,7,0.646,0.265,7,Animation|Drama|Comedy|Sci-Fi|Documentary|Romance|Action
USR-00538,50.18,87.2,10,0.802,0.449,2,Thriller|Action
USR-00539,47.87,111.4,14,0.858,0.309,4,Action|Thriller|Sci-Fi
USR-00540,8.43,35.8,3,0.415,0.728,1,Drama
USR-00541,20.92,80.6,9,0.876,0.531,1,Drama
USR-00542,38.53,67.1,9,0.519,0.402,8,Romance|Action|Comedy|Drama|Thriller|Animation|Family|Documentary
USR-00543,9.25,54.2,1,0.42,0.611,2,Drama|Family
USR-00544,32.87,75.0,7,0.662,0.318,1,Romance
USR-00545,47.43,98.1,13,0.789,0.436,2,Action|Sci-Fi
USR-00546,16.65,27.1,4,0.547,0.58,5,Drama|Comedy|Family|Animation
USR-00547,5.82,15.1,4,0.656,0.509,3,Drama|Comedy|Family
USR-00548,37.51,90.8,14,0.882,0.397,3,Thriller|Action|Sci-Fi
USR-00549,3.99,45.1,1,0.55,0.843,3,Drama|Comedy|Family
USR-00550,7.5,15.1,2,0.626,0.535,3,Family|Animation|Drama
USR-00551,33.48,42.4,5,0.508,0.409,8,Comedy|Sci-Fi|Thriller|Animation|Family|Documentary|Action|Romance
USR-00552,43.86,87.2,14,0.911,0.359,4,Sci-Fi|Thriller|Action
USR-00553,44.18,78.5,8,0.706,0.26,3,Sci-Fi|Thriller|Action
USR-00554,25.67,62.3,4,0.939,0.523,1,Romance
USR-00555,43.97,88.8,11,0.782,0.275,2,Sci-Fi|Action
USR-00556,6.28,17.6,4,0.618,0.505,5,Family|Drama|Comedy|Animation
USR-00557,15.4,37.9,3,0.592,0.492,5,Animation|Family|Comedy|Drama
USR-00558,28.75,65.4,5,0.549,0.338,5,Documentary|Sci-Fi|Thriller|Romance|Family
USR-00559,24.03,44.6,9,0.668,0.269,8,Action|Documentary|Comedy|Family|Romance|Drama|Sci-Fi|Animation
USR-00560,33.02,66.3,6,0.554,0.516,8,Documentary|Thriller|Comedy|Family|Romance|Drama|Action|Animation
USR-00561,51.5,113.0,10,0.912,0.365,3,Thriller|Action|Sci-Fi
USR-00562,14.51,38.9,3,0.795,0.482,3,Comedy|Family|Animation
USR-00563,5.99,30.7,3,0.543,0.666,2,Family|Comedy
USR-00564,33.36,74.3,10,0.847,0.322,7,Documentary|Action|Thriller|Family|Sci-Fi|Animation|Romance
USR-00565,32.64,84.9,5,0.603,0.305,8,Animation|Comedy|Family|Thriller|Action|Drama|Sci-Fi|Romance
USR-00566,9.26,34.2,3,0.335,0.772,1,Drama
USR-00567,1.37,25.1,3,0.359,0.761,1,Drama
USR-00568,43.76,87.2,11,0.908,0.299,4,
USR-00569,15.08,32.4,5,0.74,0.447,4,Family|Drama|Animation|Comedy
USR-00570,31.65,53.4,7,0.753,0.475,5,Action|Thriller|Sci-Fi|Drama|Family
USR-00571,13.46,37.6,5,0.775,0.558,3,Family|Animation|Comedy
USR-00572,6.8,22.7,3,0.66,0.86,1,Comedy
USR-00573,28.56,75.3,10,0.79,0.345,7,Thriller|Documentary|Animation|Romance|Family|Sci-Fi|Action
USR-00574,7.49,27.6,2,0.388,0.794,3,Comedy|Family|Drama
USR-00575,22.05,89.0,7,0.707,0.387,1,Drama
USR-00576,31.24,57.4,10,0.842,0.389,5,Comedy|Romance|Documentary|Animation|Drama
USR-00577,18.69,84.1,5,0.765,0.294,1,Drama
USR-00578,34.59,56.0,8,0.557,0.318,7,Documentary|Animation|Comedy|Thriller|Action|Drama|Sci-Fi
USR-00579,18.53,98.0,6,0.756,0.365,1,Thriller
USR-00580,15.21,15.2,4,0.776,0.576,5,Animation|Comedy|Family|Drama
USR-00581,27.15,59.9,8,0.73,0.378,6,Family|Romance|Action|Drama|Comedy|Thriller
USR-00582,22.58,76.5,5,0.759,0.538,8,Documentary|Drama|Comedy|Sci-Fi|Animation|Action|Family|Romance
USR-00583,38.49,116.6,12,0.849,0.286,2,Sci-Fi|Thriller
USR-00584,5.83,32.1,5,0.487,0.609,2,Family|Comedy
USR-00585,31.53,57.1,8,0.806,0.279,2,Thriller|Romance
USR-00586,38.89,49.3,10,0.545,0.313,7,Family|Comedy|Drama|Thriller|Documentary|Romance|Action
USR-00587,52.68,115.6,9,0.947,0.279,3,Action|Thriller|Sci-Fi
USR-00588,13.62,20.9,3,0.563,0.651,3,Drama|Family|Comedy
USR-00589,35.47,82.7,13,0.842,0.273,2,Thriller|Action
USR-00590,42.25,78.4,13,0.812,0.407,2,Sci-Fi|Thriller
USR-00591,27.13,73.4,8,0.683,0.544,1,Romance
USR-00592,7.51,18.6,2,0.65,0.505,3,Comedy|Animation|Drama
USR-00593,8.66,37.9,6,0.519,0.684,3,Family|Animation|Drama
USR-00594,30.38,55.6,10,0.794,0.476,6,Comedy|Drama|Family|Romance|Animation|Thriller
USR-00595,46.97,100.0,7,0.781,0.444,3,Action|Thriller|Sci-Fi
USR-00596,10.91,22.2,6,0.573,0.412,2,Drama|Comedy
USR-00597,3.72,31.7,3,0.568,0.602,1,Drama
USR-00598,27.28,44.6,6,0.826,0.324,5,Sci-Fi|Animation|Thriller|Romance|Drama
USR-00599,18.32,75.1,4,0.909,0.348,1,Drama
USR-00600,39.64,70.5,6,0.763,0.459,8,Sci-Fi|Romance|Animation|Thriller|Drama|Comedy|Documentary|Family
USR-00601,32.27,59.2,7,0.777,0.425,7,Thriller|Family|Drama|Sci-Fi|Animation|Comedy|Action
USR-00602,5.78,22.4,1,0.664,0.742,3,Comedy|Drama|Family
USR-00603,28.17,71.5,5,0.664,0.463,3,Drama|Romance|Thriller
USR-00604,6.64,27.9,1,0.634,0.762,2,Comedy|Family
USR-00605,23.3,82.1,6,0.834,0.253,3,Drama|Romance|Thriller
USR-00606,1.53,30.6,3,0.469,0.613,3,Drama|Comedy|Family
USR-00607,29.37,63.1,4,0.863,0.264,1,Romance
USR-00608,42.83,109.8,12,0.805,0.375,4,Action|Thriller|Sci-Fi
USR-00609,1.73,35.2,1,0.653,0.706,1,Drama
USR-00610,9.68,22.2,4,0.521,0.669,5,Comedy|Animation|Drama|Family
USR-00611,20.31,63.8,7,0.546,0.313,8,Comedy|Thriller|Sci-Fi|Romance|Drama|Family|Animation|Documentary
USR-00612,5.94,38.1,2,0.366,0.752,3,Drama|Family|Comedy
USR-00613,32.75,68.7,9,0.825,0.376,1,Thriller
USR-00614,19.19,59.8,4,0.881,0.518,1,Romance
USR-00615,6.37,28.4,4,0.712,0.452,5,Comedy|Animation|Drama|Family
USR-00616,1.48,48.8,1,0.325,0.816,1,Comedy
USR-00617,4.73,51.6,2,0.636,0.57,2,Comedy|Drama
USR-00618,12.16,39.6,6,0.486,0.419,4,Animation|Drama|Comedy|Family
USR-00619,37.01,108.2,9,0.719,0.428,2,Thriller|Sci-Fi
USR-00620,48.01,86.1,14,0.954,0.31,2,Action|Thriller
USR-00621,7.13,51.3,3,0.681,0.764,1,Drama
USR-00622,38.28,57.1,9,0.752,0.442,8,Sci-Fi|Animation|Thriller|Family|Drama|Romance|Documentary|Action
USR-00623,18.63,69.1,5,0.876,0.276,3,Romance|Thriller|Drama
USR-00624,29.86,50.8,5,0.528,0.523,5,Thriller|Documentary|Family|Animation|Comedy
USR-00625,28.48,67.6,6,0.874,0.49,1,Thriller
USR-00626,8.16,28.2,3,0.463,0.598,2,Family|Drama
USR-00627,1.79,54.8,3,0.698,0.713,1,Drama
USR-00628,39.87,106.9,13,0.928,0.412,4,Action|Thriller|Sci-Fi
USR-00629,33.81,46.0,6,,0.438,5,Drama|Animation|Sci-Fi|Family|Documentary
USR-00630,6.45,46.6,2,0.526,0.728,2,Comedy|Drama
USR-00631,32.12,53.1,6,0.804,0.272,3,Drama|Thriller|Romance
USR-00632,5.71,47.8,1,0.381,0.673,1,Family
USR-00633,48.92,112.3,10,0.902,0.285,3,Thriller|Sci-Fi|Action
USR-00634,8.23,28.1,5,0.727,0.585,5,Comedy|Drama|Family|Animation
USR-00635,36.93,113.7,11,0.844,0.345,2,Sci-Fi|Action
USR-00636,41.66,83.5,12,0.829,0.428,3,Thriller|Action|Sci-Fi
USR-00637,1.9,47.5,3,0.645,0.558,3,Drama|Family|Comedy
USR-00638,8.39,40.3,2,0.522,0.638,2,Family|Comedy
USR-00639,6.81,45.7,1,0.569,0.666,2,Comedy|Drama
USR-00640,20.18,59.8,7,0.737,0.286,2,Thriller|Drama
USR-00641,5.3,41.3,1,0.371,0.799,3,Comedy|Drama|Family
USR-00642,8.07,53.6,1,0.497,0.565,2,Comedy|Family
USR-00643,51.86,74.2,7,0.865,0.354,4,Sci-Fi|Action|Thriller
USR-00644,15.1,17.9,2,0.635,0.371,5,Animation|Family|Drama|Comedy
USR-00645,35.96,60.9,6,0.722,0.437,8,Romance|Animation|Thriller|Drama|Action|Documentary|Family|Sci-Fi
USR-00646,31.56,88.9,7,0.911,0.338,2,Thriller|Drama
USR-00647,49.94,85.1,9,0.747,0.414,3,Action|Sci-Fi|Thriller
USR-00648,20.92,84.7,8,0.608,0.325,5,Action|Family|Animation|Romance|Thriller
USR-00649,8.52,44.2,2,0.538,0.602,2,Drama|Comedy
USR-00650,40.28,72.9,11,0.803,0.38,4,Thriller|Sci-Fi|Action
USR-00651,10.95,16.1,4,0.674,0.541,3,Drama|Comedy|Animation
USR-00652,18.25,57.8,5,0.799,0.343,3,Romance|Thriller|Drama
USR-00653,3.58,41.7,3,0.62,0.685,2,Family|Drama
USR-00654,17.94,39.2,5,0.714,0.471,2,Comedy|Drama
USR-00655,26.51,77.0,7,0.898,0.351,2,Thriller|Romance
USR-00656,5.56,24.5,4,0.619,0.388,5,Comedy|Drama|Animation|Family
USR-00657,27.72,68.8,8,0.895,0.508,2,Drama|Thriller
USR-00658,6.55,29.2,4,0.505,0.371,2,Animation|Drama
USR-00659,37.08,75.2,5,0.766,0.461,8,Thriller|Documentary|Family|Romance|Sci-Fi|Drama|Action|Animation
USR-00660,17.73,37.3,6,0.497,0.657,2,Drama|Comedy
USR-00661,6.97,17.9,4,0.511,0.479,5,Animation|Drama|Family|Comedy
USR-00662,34.9,93.8,6,0.735,0.316,3,Thriller|Drama|Romance
USR-00663,35.11,109.0,13,0.848,0.328,4,Sci-Fi|Action|Thriller
USR-00664,40.32,95.1,12,0.853,0.42,3,Thriller|Sci-Fi|Action
USR-00665,5.5,18.4,5,0.733,0.66,4,Family|Drama|Comedy|Animation
USR-00666,4.61,31.6,3,0.495,0.629,3,Drama|Family|Comedy
USR-00667,9.27,21.8,2,0.373,0.834,1,Family
USR-00668,28.64,67.9,7,0.671,0.507,1,Drama
USR-00669,5.43,29.3,5,0.484,0.63,2,Family|Animation
USR-00670,9.53,33.2,3,0.473,0.391,2,Animation|Comedy
USR-00671,54.45,88.7,10,0.851,0.378,2,Action|Sci-Fi
USR-00672,23.96,78.0,8,0.792,0.379,8,Comedy|Romance|Family|Action|Drama|Thriller|Animation|Sci-Fi
USR-00673,34.18,70.6,4,0.766,0.29,3,Thriller|Drama|Romance
USR-00674,1.5,32.8,1,0.437,0.573,3,Drama|Family|Comedy
USR-00675,20.11,64.1,5,0.601,0.442,5,Animation|Comedy|Thriller|Documentary|Family
USR-00676,7.48,19.6,6,0.606,0.416,5,Drama|Comedy|Family|Animation
USR-00677,29.05,88.7,7,0.748,0.526,3,Romance|Drama|Thriller
USR-00678,27.17,52.7,9,0.648,0.279,7,Animation|Documentary|Sci-Fi|Action|Thriller|Romance|Comedy
USR-00679,46.41,114.6,13,0.869,0.342,3,Sci-Fi|Thriller|Action
USR-00680,17.75,25.6,4,0.6,0.499,3,Comedy|Drama|Family
USR-00681,42.43,91.5,9,0.71,0.356,3,Action|Sci-Fi|Thriller
